Telemetry_ID,Trip_ID,Timestamp,Minute_Offset,Latitude,Longitude,Altitude,Speed_KMH,Acceleration_X,Acceleration_Y,Acceleration_Z,Gyro_X,Gyro_Y,Gyro_Z,Phone_Mount
TEL_000001,T001,2026-08-10 16:40:00,0,13.035467,77.607909,919.4,0.0,-0.22,0.0,9.33,-0.9,-1.5,1.1,Handlebar_Mount
TEL_000002,T001,2026-08-10 16:41:00,1,13.036167,77.60783,923.2,6.7,0.47,2.33,9.75,7.8,4.6,-5.9,Handlebar_Mount
TEL_000003,T001,2026-08-10 16:42:00,2,13.037306,77.60702,920.3,13.3,0.64,2.29,10.42,6.3,9.4,4.0,Handlebar_Mount
TEL_000004,T001,2026-08-10 16:43:00,3,13.036579,77.605539,917.9,15.7,-0.59,0.82,10.06,3.8,-3.8,3.4,Handlebar_Mount
TEL_000005,T001,2026-08-10 16:44:00,4,13.035076,77.606994,915.8,19.9,1.18,1.46,9.33,6.9,7.8,-1.9,Handlebar_Mount
TEL_000006,T001,2026-08-10 16:45:00,5,13.036364,77.605175,915.1,21.2,0.37,0.45,9.35,1.7,9.4,-22.1,Handlebar_Mount
TEL_000007,T001,2026-08-10 16:46:00,6,13.033814,77.604817,922.5,24.5,0.27,1.16,9.61,4.0,3.5,-0.6,Handlebar_Mount
TEL_000008,T001,2026-08-10 16:47:00,7,13.031404,77.605891,919.4,25.1,0.26,0.19,9.49,-3.1,9.4,14.0,Handlebar_Mount
TEL_000009,T001,2026-08-10 16:48:00,8,13.033306,77.604003,919.4,25.5,0.48,0.16,9.57,2.1,5.5,-4.3,Handlebar_Mount
TEL_000010,T001,2026-08-10 16:49:00,9,13.031158,77.606045,920.3,28.2,0.21,0.91,10.15,2.8,1.0,1.4,Handlebar_Mount
TEL_000011,T001,2026-08-10 16:50:00,10,13.032802,77.607916,924.3,23.7,-1.36,-1.57,9.94,-3.3,-11.1,-4.8,Handlebar_Mount
TEL_000012,T001,2026-08-10 16:51:00,11,13.030221,77.606842,924.5,26.6,0.15,1.02,11.29,1.7,5.5,-18.7,Handlebar_Mount
TEL_000013,T001,2026-08-10 16:52:00,12,13.031981,77.604341,924.7,29.1,0.78,0.86,9.41,6.0,10.4,-9.2,Handlebar_Mount
TEL_000014,T001,2026-08-10 16:53:00,13,13.03304,77.607187,922.8,28.9,0.83,-0.06,8.76,1.4,15.1,10.2,Handlebar_Mount
TEL_000015,T001,2026-08-10 16:54:00,14,13.035685,77.609091,920.3,31.0,1.23,0.73,9.72,2.1,7.5,11.5,Handlebar_Mount
TEL_000016,T001,2026-08-10 16:55:00,15,13.035291,77.60557,922.8,33.7,-0.41,0.94,10.06,2.9,-4.0,5.2,Handlebar_Mount
TEL_000017,T001,2026-08-10 16:56:00,16,13.032381,77.607418,922.2,32.8,-1.65,-0.32,9.61,1.2,-11.3,-11.6,Handlebar_Mount
TEL_000018,T001,2026-08-10 16:57:00,17,13.029492,77.605695,921.6,32.0,-0.97,-0.27,9.93,-1.2,-13.5,8.7,Handlebar_Mount
TEL_000019,T001,2026-08-10 16:58:00,18,13.029236,77.608511,916.5,26.9,0.59,-1.78,9.83,-2.3,7.1,-11.4,Handlebar_Mount
TEL_000020,T001,2026-08-10 16:59:00,19,13.026956,77.610219,916.2,27.1,0.23,0.06,10.15,-0.9,5.2,-0.2,Handlebar_Mount
TEL_000021,T001,2026-08-10 17:00:00,20,13.024122,77.611475,920.4,29.5,0.71,0.83,9.17,3.3,3.1,-8.5,Handlebar_Mount
